Frage-ID;Frage;System;Modell;Relevanz Chunk 1 (0-2);Relevanz Chunk 2 (0-2);Relevanz Chunk 3 (0-2);Fachliche Korrektheit (0-2);Vollständigkeit (0-2);Fragebezug (0-2);Quellennachvollziehbarkeit (0-2);Bemerkungen
F16;Wie heißen die 4 Punk Frösche und ihre Sprecher??;Untersuchungssystem;struct2prose-rag;2;0;0;2;1;2;2;nur deutsche Sprecher, obwohl nicht präzisiert
F16;Wie heißen die 4 Punk Frösche und ihre Sprecher??;Referenzsystem;baseline-rag;2;0;0;2;2;2;2;
F17;Ist nach einer Installation des PDF-Viewer ein Neustart notwendig?;Untersuchungssystem;struct2prose-rag;0;0;2;2;2;2;2;
F17;Ist nach einer Installation des PDF-Viewer ein Neustart notwendig?;Referenzsystem;baseline-rag;0;0;0;0;0;0;0;
F18;Welche Paket-Version des Web-Proxy ist derzeit in der Softwareverteilung freigegeben?;Untersuchungssystem;struct2prose-rag;2;0;0;2;2;2;2;
F18;Welche Paket-Version des Web-Proxy ist derzeit in der Softwareverteilung freigegeben?;Referenzsystem;baseline-rag;2;0;0;2;2;2;2;
F19;Was ist Alarmklasse A3? Was ist die zweite Stufe der Eskalationskette?;Untersuchungssystem;struct2prose-rag;2;2;0;1;2;2;2;Inf.verlust durch Kont.
F19;Was ist Alarmklasse A3? Was ist die zweite Stufe der Eskalationskette?;Referenzsystem;baseline-rag;1;0;2;2;2;2;2;
F20;Wie viele Tage lang wird das Netzwerkmonitoring vorgehalten?;Untersuchungssystem;struct2prose-rag;2;0;2;2;2;2;2;
F20;Wie viele Tage lang wird das Netzwerkmonitoring vorgehalten?;Referenzsystem;baseline-rag;0;0;0;0;0;0;0;
